====================================================================================================
SISTEM INFORMASI KEIMIGRASIAN — LOG KEDATANGAN INTERNASIONAL
Terminal: Bandara Internasional I Gusti Ngurah Rai (DPS)
Periode Ekstraksi: 01 Juni 2026 - 02 Juni 2026 | Klasifikasi: TERBATAS - KERJASAMA INVESTIGASI
====================================================================================================

NO  NAMA LENGKAP              NO. PASPOR    KODE NEGARA     TGL MASUK     DURASI (HARI)  JENIS VISA
----------------------------------------------------------------------------------------------------------------------------------
1   ANTHONY RAMIREZ           F4103463      BELGIUM         01-06-2026    14             BEBAS VISA KUNJUNGAN
2   EMMA CAMPBELL             H3273425      MALAYSIA        01-06-2026    4              VISA ON ARRIVAL (VOA)
3   NOVA SANCHEZ              H7882018      CANADA          02-06-2026    7              B211A - KUNJUNGAN WISATA
4   DANIEL JACKSON            H6657997      UNITED STATES   01-06-2026    8              B211A - KUNJUNGAN WISATA
5   LILY YOUNG                C1250951      MALAYSIA        02-06-2026    14             VISA ON ARRIVAL (VOA)
6   AURORA PHILLIPS           G8918012      SPAIN           01-06-2026    14             VISA ON ARRIVAL (VOA)
7   CHRISTOPHER JOHNSON       C3118207      INDIA           02-06-2026    4              BEBAS VISA KUNJUNGAN
8   LIAM LEE                  B9664411      JAPAN           02-06-2026    9              B211A - KUNJUNGAN WISATA
9   ZOE COLLINS               F9591366      AUSTRALIA       02-06-2026    4              B211A - KUNJUNGAN WISATA
10  HAZEL HALL                G3654240      NEW ZEALAND     02-06-2026    3              B211A - KUNJUNGAN WISATA
11  LUKE RIVERA               G8980496      UNITED STATES   02-06-2026    12             VISA ON ARRIVAL (VOA)
12  JOSHUA MITCHELL           A1854801      CANADA          01-06-2026    14             B211A - KUNJUNGAN WISATA
13  KEVIN WILSON              A6206249      NETHERLANDS     01-06-2026    10             BEBAS VISA KUNJUNGAN
14  LIAM COLLINS              H3285688      BELGIUM         02-06-2026    5              BEBAS VISA KUNJUNGAN
15  SAVANNAH LEE              H6038929      NORWAY          02-06-2026    6              BEBAS VISA KUNJUNGAN
16  KEVIN REYES               D5500716      AUSTRIA         01-06-2026    5              B211A - KUNJUNGAN WISATA
17  EMILY LEWIS               G4040492      ITALY           02-06-2026    21             BEBAS VISA KUNJUNGAN
18  NATALIE WRIGHT            A6038443      MEXICO          02-06-2026    10             B211A - KUNJUNGAN WISATA
19  JOSEPH GOMEZ              H7584322      DENMARK         02-06-2026    14             B211A - KUNJUNGAN WISATA
20  LEVI TURNER               C6221308      SINGAPORE       02-06-2026    7              BEBAS VISA KUNJUNGAN
21  BRIAN GUTIERREZ           F7827911      SPAIN           02-06-2026    8              VISA ON ARRIVAL (VOA)
22  WILLIAM MARTIN            A4110067      SOUTH KOREA     02-06-2026    12             BEBAS VISA KUNJUNGAN
23  BRIAN ROBINSON            F8585477      NETHERLANDS     02-06-2026    3              VISA ON ARRIVAL (VOA)
24  RYAN WHITE                E3751133      AUSTRIA         02-06-2026    3              BEBAS VISA KUNJUNGAN
25  BROOKLYN MILLER           B6145299      GERMANY         01-06-2026    8              B211A - KUNJUNGAN WISATA
26  ISAAC PARKER              E6058981      GREECE          01-06-2026    12             B211A - KUNJUNGAN WISATA
27  ARIA SMITH                E9854784      MALAYSIA        01-06-2026    6              B211A - KUNJUNGAN WISATA
28  LUCAS RODRIGUEZ           C6298337      UNITED STATES   01-06-2026    14             B211A - KUNJUNGAN WISATA
29  ARIA STEWART              H8194246      SOUTH KOREA     01-06-2026    6              B211A - KUNJUNGAN WISATA
30  ANNA KING                 E7351315      IRELAND         02-06-2026    9              B211A - KUNJUNGAN WISATA
31  CHARLOTTE SANCHEZ         F9429561      BRAZIL          01-06-2026    21             B211A - KUNJUNGAN WISATA
32  ANNA WILSON               F4615859      SPAIN           01-06-2026    12             VISA ON ARRIVAL (VOA)
33  NATALIE KING              G2961105      MEXICO          02-06-2026    5              B211A - KUNJUNGAN WISATA
34  JULIAN ADAMS              E9995203      UNITED KINGDOM  02-06-2026    5              BEBAS VISA KUNJUNGAN
35  AURORA RAMIREZ            F1208475      NEW ZEALAND     02-06-2026    9              BEBAS VISA KUNJUNGAN
36  WILLOW BAKER              E1258723      CANADA          02-06-2026    14             B211A - KUNJUNGAN WISATA
37  JULIAN MORGAN             C4564243      UNITED KINGDOM  01-06-2026    6              B211A - KUNJUNGAN WISATA
38  PAISLEY GARCIA            G3232705      NETHERLANDS     01-06-2026    14             B211A - KUNJUNGAN WISATA
39  DYLAN ROBERTS             C9265307      MALAYSIA        02-06-2026    10             VISA ON ARRIVAL (VOA)
40  AURORA ALLEN              A9249829      UNITED KINGDOM  02-06-2026    10             B211A - KUNJUNGAN WISATA
41  SOPHIA WALKER             B3763511      CANADA          02-06-2026    21             B211A - KUNJUNGAN WISATA
42  WILLOW GOMEZ              G2820699      SPAIN           01-06-2026    3              BEBAS VISA KUNJUNGAN
43  NORA WHITE                D8498130      ITALY           02-06-2026    8              B211A - KUNJUNGAN WISATA
44  MIA MOORE                 A8908175      NORWAY          02-06-2026    7              BEBAS VISA KUNJUNGAN
45  ANTHONY WRIGHT            D2396386      UNITED KINGDOM  01-06-2026    14             BEBAS VISA KUNJUNGAN
46  EMILY HARRIS              G7157636      AUSTRIA         02-06-2026    21             BEBAS VISA KUNJUNGAN
