employee_id,nama_lengkap,departemen,posisi,tanggal_bergabung,status
KRY-2150,AYU SAPUTRA,Logistik & Gudang,Teknisi Junior,27-02-2020,AKTIF
KRY-2256,DEWI ASTUTI,Logistik & Gudang,Teknisi Junior,18-11-2023,AKTIF
KRY-2171,GUSTI WIJAYA,Operasional Teknik,Supervisor,06-04-2022,AKTIF
KRY-2184,NI WARDANA,Perawatan Mesin,Staff,03-09-2020,AKTIF
KRY-2152,BAGUS HANDAYANI,Logistik & Gudang,Teknisi Junior,03-02-2019,AKTIF
KRY-2252,BAGUS KURNIAWAN,Keamanan Instalasi,Staff,27-12-2023,AKTIF
KRY-2122,KETUT SAPUTRA,Keamanan Instalasi,Koordinator Lapangan,15-02-2022,AKTIF
KRY-2213,WAYAN PUTRI,Keamanan Instalasi,Teknisi Senior,17-01-2021,AKTIF
KRY-2192,ADI WISNU PRATAMA,Perawatan Mesin,Teknisi Junior,02-07-2022,AKTIF
KRY-2235,SRI PRADNYANA,Logistik & Gudang,Teknisi Junior,19-08-2021,AKTIF
KRY-2103,NYOMAN ARIMBAWA,Operasional Teknik,Staff,16-11-2018,AKTIF
KRY-2130,ANAK SUTRISNO,Teknisi SCADA,Koordinator Lapangan,19-12-2021,AKTIF
KRY-2277,KADEK HANDAYANI,Keamanan Instalasi,Teknisi Junior,10-09-2018,AKTIF
KRY-2190,MADE HANDAYANI,IT & Jaringan,Koordinator Lapangan,01-01-2021,AKTIF
KRY-2279,NYOMAN WIJAYA,Operasional Teknik,Teknisi Junior,03-11-2021,AKTIF
KRY-2291,ARYA WISNU NUGRAHA,Teknisi SCADA,Teknisi Senior,14-03-2021,AKTIF
KRY-2221,WAYAN ARIMBAWA,Keamanan Instalasi,Teknisi Junior,08-05-2019,AKTIF
KRY-2142,KOMANG WARDANA,Administrasi,Staff,02-04-2023,AKTIF
KRY-2247,GUSTI ARIMBAWA,IT & Jaringan,Supervisor,17-05-2022,AKTIF
KRY-2259,WAYAN HANDAYANI,IT & Jaringan,Teknisi Senior,18-05-2020,AKTIF
KRY-2104,DEWA SETIAWAN,Humas & Eksternal,Staff,02-01-2023,AKTIF
KRY-2123,NYOMAN WIJAYA,Keamanan Instalasi,Koordinator Lapangan,07-11-2018,AKTIF
KRY-2127,I WARDANA,IT & Jaringan,Teknisi Senior,15-08-2022,AKTIF
KRY-2266,NI SETIAWAN,IT & Jaringan,Teknisi Senior,10-02-2022,AKTIF
KRY-2149,IDA SAPUTRA,Teknisi SCADA,Teknisi Senior,25-12-2023,AKTIF
KRY-2219,BAGUS WISNU KUSUMA,Logistik & Gudang,Staff,19-11-2020,AKTIF
KRY-2200,DEWI WIBAWA,IT & Jaringan,Teknisi Senior,13-12-2022,AKTIF
KRY-2170,KADEK PRATAMA,Keamanan Instalasi,Teknisi Junior,05-06-2023,AKTIF
KRY-2250,KADEK SETIAWAN,Operasional Teknik,Koordinator Lapangan,01-12-2022,AKTIF
KRY-2169,WAYAN DARMA,Administrasi,Teknisi Senior,02-11-2022,AKTIF
KRY-2196,LUH NUGRAHA,Keamanan Instalasi,Teknisi Senior,03-06-2021,AKTIF
KRY-2112,LUH WIJAYA,Humas & Eksternal,Teknisi Junior,16-07-2022,AKTIF
KRY-2101,KOMANG SUTRISNO,Keamanan Instalasi,Staff,13-03-2018,AKTIF
KRY-2165,AYU PRADNYANA,Administrasi,Koordinator Lapangan,22-02-2018,AKTIF
KRY-2286,KADEK ASTUTI,IT & Jaringan,Koordinator Lapangan,23-02-2019,AKTIF
KRY-2238,DEWI SETIAWAN,Perawatan Mesin,Teknisi Senior,16-04-2019,AKTIF
KRY-2211,DEWI NUGRAHA,IT & Jaringan,Koordinator Lapangan,26-04-2021,AKTIF
KRY-2257,WAYAN SETIAWAN,Teknisi SCADA,Teknisi Senior,11-11-2021,AKTIF
KRY-2228,KETUT WIBAWA,Perawatan Mesin,Teknisi Junior,09-06-2019,AKTIF
KRY-2271,PUTU YUDISTIRA,Administrasi,Teknisi Senior,17-08-2020,AKTIF
KRY-2161,KADEK HANDAYANI,Keamanan Instalasi,Supervisor,19-11-2018,AKTIF
